"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_selfing"
"247",0.01,0.2,0.4,47,2779
"248",0.01,0.2,0.4,48,2739
"249",0.01,0.2,0.4,49,2727
"250",0.01,0.2,0.4,50,2549
"251",0.01,0.2,0.4,51,2581
"252",0.01,0.2,0.4,52,2695
"253",0.01,0.2,0.4,53,2703
"254",0.01,0.2,0.4,54,2699
"255",0.01,0.2,0.4,55,2586
"256",0.01,0.2,0.4,56,2634
"257",0.01,0.2,0.4,57,2536
"258",0.01,0.2,0.4,58,2641
"259",0.01,0.2,0.4,59,2831
"260",0.01,0.2,0.4,60,2613
"261",0.01,0.2,0.4,61,2543
"262",0.01,0.2,0.4,62,2623
"263",0.01,0.2,0.4,63,2790
"264",0.01,0.2,0.4,64,2742
"265",0.01,0.2,0.4,65,2547
"266",0.01,0.2,0.4,66,2584
"267",0.01,0.2,0.4,67,2670
"268",0.01,0.2,0.4,68,2622
"269",0.01,0.2,0.4,69,2729
"270",0.01,0.2,0.4,70,2683
"271",0.01,0.2,0.4,71,2516
"272",0.01,0.2,0.4,72,2630
"273",0.01,0.2,0.4,73,2522
"274",0.01,0.2,0.4,74,2583
"275",0.01,0.2,0.4,75,2725
"276",0.01,0.2,0.4,76,2661
"277",0.01,0.2,0.4,77,2643
"278",0.01,0.2,0.4,78,2752
"279",0.01,0.2,0.4,79,2790
"280",0.01,0.2,0.4,80,2762
"281",0.01,0.2,0.4,81,2695
"282",0.01,0.2,0.4,82,2646
"283",0.01,0.2,0.4,83,2596
"284",0.01,0.2,0.4,84,2569
"285",0.01,0.2,0.4,85,2504
"286",0.01,0.2,0.4,86,2547
"287",0.01,0.2,0.4,87,2450
"288",0.01,0.2,0.4,88,2691
"289",0.01,0.2,0.4,89,2674
"290",0.01,0.2,0.4,90,2616
"291",0.01,0.2,0.4,91,2723
"292",0.01,0.2,0.4,92,2631
"293",0.01,0.2,0.4,93,2749
"294",0.01,0.2,0.4,94,2662
"295",0.01,0.2,0.4,95,2605
"296",0.01,0.2,0.4,96,2848
"297",0.01,0.2,0.4,97,2734
"298",0.01,0.2,0.4,98,2532
"299",0.01,0.2,0.4,99,2813
"300",0.01,0.2,0.4,100,2665
"301",0.01,0.2,0.6,1,2039
"302",0.01,0.2,0.6,2,2007
"303",0.01,0.2,0.6,3,1959
"304",0.01,0.2,0.6,4,1836
"305",0.01,0.2,0.6,5,1911
"306",0.01,0.2,0.6,6,1901
"307",0.01,0.2,0.6,7,1919
