"","g2","CI_lower","CI_upper","Rate","Rep"
"200",2.02994009843582e-05,-9.01172216963286e-07,5.95778022079829e-05,0.99,"Replicate1"
"201",0.00941378474744314,3.03429071690786e-07,0.0217554124345379,0.95,"Replicate99"
"202",0.00528456888092288,-4.3550448451668e-07,0.0201851885493052,0.95,"Replicate98"
"203",0.0126387529558547,-1.53463519639296e-06,0.0388169627741867,0.95,"Replicate97"
"204",0.0336819486425621,-1.28518335270333e-06,0.0926501958858122,0.95,"Replicate96"
"205",0.0515445556313785,0.0151635374107964,0.103983462556909,0.95,"Replicate95"
"206",0.000564466256694818,-7.18022818260722e-07,0.00165094956763574,0.95,"Replicate94"
"207",0.00383344847782596,-1.62941879763012e-06,0.0114212530671053,0.95,"Replicate93"
"208",0.0268946990720527,-4.82989491387697e-07,0.0745796527271664,0.95,"Replicate92"
"209",0.00453848539137569,-5.67817885965827e-07,0.0135795286668168,0.95,"Replicate91"
"210",2.01794970000613e-06,-7.17641827682747e-07,8.20735578065389e-06,0.95,"Replicate90"
"211",-5.58614706713811e-07,-9.56416354053191e-07,-1.44760491840867e-07,0.95,"Replicate9"
"212",0.0223849065668829,-1.13370255012957e-06,0.0649245256042101,0.95,"Replicate89"
"213",0.0200022568612104,-1.04070376026055e-06,0.0625084274901295,0.95,"Replicate88"
"214",0.0195752889718019,-1.67729296957908e-06,0.0450957390264632,0.95,"Replicate87"
"215",0.0154520080446763,-1.14318039712569e-06,0.0566869316392875,0.95,"Replicate86"
"216",-9.64844411033283e-07,-1.4962063685231e-06,-4.10563774944084e-07,0.95,"Replicate85"
"217",0.031331042489569,0.00352579809459894,0.0734464127570697,0.95,"Replicate84"
"218",0.00480476734429902,-1.79173675960431e-06,0.0191571508985838,0.95,"Replicate83"
"219",0.0281651454638705,-8.28319637161123e-07,0.0808270079738112,0.95,"Replicate82"
"220",0.0119189701692592,-3.14021731503966e-07,0.0390426824841454,0.95,"Replicate81"
"221",0.00606556151340931,-1.15268246157763e-06,0.016013090471357,0.95,"Replicate80"
"222",0.0279977138331391,-1.66529711663477e-06,0.0710399127843218,0.95,"Replicate8"
"223",3.18113627217897e-07,-3.68679210149825e-07,1.03692449446857e-06,0.95,"Replicate79"
"224",7.33406440864837e-05,3.61511093022182e-07,0.000244678027539774,0.95,"Replicate78"
"225",0.00118451803653929,-8.95645943041478e-07,0.00405322134354316,0.95,"Replicate77"
"226",0.00388625594700343,-1.37061057784993e-06,0.0115934635385516,0.95,"Replicate76"
"227",0.00746162083238766,-2.28377116745504e-07,0.0215310213076153,0.95,"Replicate75"
"228",0.0300663466633981,-9.6541623098578e-08,0.0898073121325806,0.95,"Replicate74"
"229",0.048648997103524,0.0205936435591439,0.0966893602369219,0.95,"Replicate73"
"230",0.00915692990758665,-7.17273423433973e-07,0.0278509201809529,0.95,"Replicate72"
"231",0.00919792789256157,8.9704277889791e-06,0.02543045169973,0.95,"Replicate71"
"232",0.00186315810278326,-4.37926389298959e-07,0.00549775086381997,0.95,"Replicate70"
"233",0.0194676596129986,0.00373683209986064,0.047125352108534,0.95,"Replicate7"
"234",0.0111002103173936,-3.38173566205578e-08,0.0301989483464621,0.95,"Replicate69"
"235",0.00509040171136022,-1.38180305274682e-06,0.015067578851327,0.95,"Replicate68"
"236",7.83666311443554e-06,-7.96327864524549e-07,2.39014815161254e-05,0.95,"Replicate67"
"237",0.00769877841017119,-1.40703512463147e-06,0.0233113812543392,0.95,"Replicate66"
"238",0.0214624692382388,4.02599231302814e-07,0.0589605726039542,0.95,"Replicate65"
"239",0.00526880972070631,-6.96727024079857e-07,0.0158141619989456,0.95,"Replicate64"
"240",0.00301194579629205,-5.633892237622e-07,0.00894412214558069,0.95,"Replicate63"
"241",0.00190852428995814,-2.69775657263382e-07,0.00470158081870488,0.95,"Replicate62"
"242",0.0253109931282409,0.00193742740866463,0.067719530409986,0.95,"Replicate61"
"243",0.00357734130203946,-8.98646721414487e-07,0.0124123279774777,0.95,"Replicate60"
"244",0.0261286728056351,0.00133571961024058,0.0653624846434789,0.95,"Replicate6"
"245",0.0259699007283662,-9.98299159449267e-07,0.0693891233317659,0.95,"Replicate59"
"246",0.00169037052500975,-1.67949334814455e-06,0.00494740683436076,0.95,"Replicate58"
"247",6.81149369707867e-06,4.37747169629299e-07,1.62711377248548e-05,0.95,"Replicate57"
"248",0.0246251057237703,1.5108881604814e-05,0.0687983941189677,0.95,"Replicate56"
"249",0.037013123545349,0.00357919123172402,0.0965295902955567,0.95,"Replicate55"
"250",0.00214283171967233,0.000105694065509618,0.00511720569284243,0.95,"Replicate54"
"251",-1.63395050545301e-06,-2.20867526671553e-06,-9.13520181641814e-07,0.95,"Replicate53"
