"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_selfing"
"424",0.01,0.2,0.8,24,491
"425",0.01,0.2,0.8,25,551
"426",0.01,0.2,0.8,26,484
"427",0.01,0.2,0.8,27,470
"428",0.01,0.2,0.8,28,401
"429",0.01,0.2,0.8,29,602
"430",0.01,0.2,0.8,30,419
"431",0.01,0.2,0.8,31,421
"432",0.01,0.2,0.8,32,465
"433",0.01,0.2,0.8,33,482
"434",0.01,0.2,0.8,34,376
"435",0.01,0.2,0.8,35,508
"436",0.01,0.2,0.8,36,470
"437",0.01,0.2,0.8,37,525
"438",0.01,0.2,0.8,38,444
"439",0.01,0.2,0.8,39,545
"440",0.01,0.2,0.8,40,448
"441",0.01,0.2,0.8,41,507
"442",0.01,0.2,0.8,42,519
"443",0.01,0.2,0.8,43,516
"444",0.01,0.2,0.8,44,427
"445",0.01,0.2,0.8,45,388
"446",0.01,0.2,0.8,46,537
"447",0.01,0.2,0.8,47,472
"448",0.01,0.2,0.8,48,441
"449",0.01,0.2,0.8,49,558
"450",0.01,0.2,0.8,50,418
"451",0.01,0.2,0.8,51,431
"452",0.01,0.2,0.8,52,490
"453",0.01,0.2,0.8,53,452
"454",0.01,0.2,0.8,54,508
"455",0.01,0.2,0.8,55,459
"456",0.01,0.2,0.8,56,376
"457",0.01,0.2,0.8,57,433
"458",0.01,0.2,0.8,58,428
"459",0.01,0.2,0.8,59,424
"460",0.01,0.2,0.8,60,500
"461",0.01,0.2,0.8,61,350
"462",0.01,0.2,0.8,62,443
"463",0.01,0.2,0.8,63,482
"464",0.01,0.2,0.8,64,441
"465",0.01,0.2,0.8,65,530
"466",0.01,0.2,0.8,66,478
"467",0.01,0.2,0.8,67,472
"468",0.01,0.2,0.8,68,452
"469",0.01,0.2,0.8,69,425
"470",0.01,0.2,0.8,70,488
"471",0.01,0.2,0.8,71,486
"472",0.01,0.2,0.8,72,398
"473",0.01,0.2,0.8,73,441
"474",0.01,0.2,0.8,74,327
"475",0.01,0.2,0.8,75,482
"476",0.01,0.2,0.8,76,465
"477",0.01,0.2,0.8,77,488
"478",0.01,0.2,0.8,78,513
"479",0.01,0.2,0.8,79,470
"480",0.01,0.2,0.8,80,470
"481",0.01,0.2,0.8,81,476
"482",0.01,0.2,0.8,82,550
"483",0.01,0.2,0.8,83,426
"484",0.01,0.2,0.8,84,468
"485",0.01,0.2,0.8,85,469
"486",0.01,0.2,0.8,86,393
"487",0.01,0.2,0.8,87,457
"488",0.01,0.2,0.8,88,448
"489",0.01,0.2,0.8,89,520
"490",0.01,0.2,0.8,90,420
"491",0.01,0.2,0.8,91,529
"492",0.01,0.2,0.8,92,559
"493",0.01,0.2,0.8,93,421
"494",0.01,0.2,0.8,94,474
"495",0.01,0.2,0.8,95,515
"496",0.01,0.2,0.8,96,440
"497",0.01,0.2,0.8,97,430
"498",0.01,0.2,0.8,98,506
"499",0.01,0.2,0.8,99,486
"500",0.01,0.2,0.8,100,419
"501",0.01,0.2,0.95,1,484
"502",0.01,0.2,0.95,2,517
"503",0.01,0.2,0.95,3,559
"504",0.01,0.2,0.95,4,510
"505",0.01,0.2,0.95,5,462
"506",0.01,0.2,0.95,6,582
"507",0.01,0.2,0.95,7,526
"508",0.01,0.2,0.95,8,524
