"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","Relative_homo_selfing"
"433",0.01,0.2,0.8,33,0.642238507661559
"434",0.01,0.2,0.8,34,0.542568542568543
"435",0.01,0.2,0.8,35,0.700689655172414
"436",0.01,0.2,0.8,36,0.674802584350323
"437",0.01,0.2,0.8,37,0.685378590078329
"438",0.01,0.2,0.8,38,0.639769452449568
"439",0.01,0.2,0.8,39,0.733512786002692
"440",0.01,0.2,0.8,40,0.717373899119295
"441",0.01,0.2,0.8,41,0.715596330275229
"442",0.01,0.2,0.8,42,0.709986320109439
"443",0.01,0.2,0.8,43,0.667961165048544
"444",0.01,0.2,0.8,44,0.586538461538462
"445",0.01,0.2,0.8,45,0.576951672862454
"446",0.01,0.2,0.8,46,0.691119691119691
"447",0.01,0.2,0.8,47,0.650585802894555
"448",0.01,0.2,0.8,48,0.601226993865031
"449",0.01,0.2,0.8,49,0.686346863468635
"450",0.01,0.2,0.8,50,0.595017793594306
"451",0.01,0.2,0.8,51,0.612215909090909
"452",0.01,0.2,0.8,52,0.66712049012934
"453",0.01,0.2,0.8,53,0.640680368532955
"454",0.01,0.2,0.8,54,0.723646723646724
"455",0.01,0.2,0.8,55,0.68815592203898
"456",0.01,0.2,0.8,56,0.540229885057471
"457",0.01,0.2,0.8,57,0.610288935870331
"458",0.01,0.2,0.8,58,0.577987846049966
"459",0.01,0.2,0.8,59,0.546744036105738
"460",0.01,0.2,0.8,60,0.702247191011236
"461",0.01,0.2,0.8,61,0.504322766570605
"462",0.01,0.2,0.8,62,0.67737003058104
"463",0.01,0.2,0.8,63,0.621935483870968
"464",0.01,0.2,0.8,64,0.610803324099723
"465",0.01,0.2,0.8,65,0.694626474442988
"466",0.01,0.2,0.8,66,0.680427046263345
"467",0.01,0.2,0.8,67,0.665726375176305
"468",0.01,0.2,0.8,68,0.648493543758967
"469",0.01,0.2,0.8,69,0.600282485875706
"470",0.01,0.2,0.8,70,0.626042334830019
"471",0.01,0.2,0.8,71,0.661674608577263
"472",0.01,0.2,0.8,72,0.543344709897611
"473",0.01,0.2,0.8,73,0.613351877607789
"474",0.01,0.2,0.8,74,0.465480427046263
"475",0.01,0.2,0.8,75,0.613621896880968
"476",0.01,0.2,0.8,76,0.629228687415426
"477",0.01,0.2,0.8,77,0.661246612466125
"478",0.01,0.2,0.8,78,0.746181818181818
"479",0.01,0.2,0.8,79,0.649619903248099
"480",0.01,0.2,0.8,80,0.629183400267738
"481",0.01,0.2,0.8,81,0.669950738916256
"482",0.01,0.2,0.8,82,0.726552179656539
"483",0.01,0.2,0.8,83,0.619636363636364
"484",0.01,0.2,0.8,84,0.634146341463415
"485",0.01,0.2,0.8,85,0.622428666224287
"486",0.01,0.2,0.8,86,0.552742616033755
"487",0.01,0.2,0.8,87,0.651461154668567
"488",0.01,0.2,0.8,88,0.623521224773834
"489",0.01,0.2,0.8,89,0.689655172413793
"490",0.01,0.2,0.8,90,0.633484162895928
"491",0.01,0.2,0.8,91,0.684789644012945
"492",0.01,0.2,0.8,92,0.751849361129792
"493",0.01,0.2,0.8,93,0.582295988934993
"494",0.01,0.2,0.8,94,0.620825147347741
"495",0.01,0.2,0.8,95,0.673642903858731
"496",0.01,0.2,0.8,96,0.665154950869237
"497",0.01,0.2,0.8,97,0.574482297929192
"498",0.01,0.2,0.8,98,0.715700141442716
"499",0.01,0.2,0.8,99,0.687898089171974
"500",0.01,0.2,0.8,100,0.628657164291073
"501",0.01,0.2,0.95,1,0.925430210325048
"502",0.01,0.2,0.95,2,0.880749574105622
"503",0.01,0.2,0.95,3,0.878240377062058
"504",0.01,0.2,0.95,4,0.929808568824066
"505",0.01,0.2,0.95,5,0.881679389312977
"506",0.01,0.2,0.95,6,0.86094674556213
"507",0.01,0.2,0.95,7,0.890016920473773
"508",0.01,0.2,0.95,8,0.863973619126134
"509",0.01,0.2,0.95,9,0.886666666666667
"510",0.01,0.2,0.95,10,0.952231793265466
"511",0.01,0.2,0.95,11,0.927152317880795
"512",0.01,0.2,0.95,12,0.920382165605096
"513",0.01,0.2,0.95,13,0.893685051958433
"514",0.01,0.2,0.95,14,0.919900908340215
"515",0.01,0.2,0.95,15,0.893186003683241
"516",0.01,0.2,0.95,16,0.841927303465765
"517",0.01,0.2,0.95,17,0.894324853228963
"518",0.01,0.2,0.95,18,0.912804399057345
"519",0.01,0.2,0.95,19,0.912820512820513
"520",0.01,0.2,0.95,20,0.842105263157895
"521",0.01,0.2,0.95,21,0.943116240725474
"522",0.01,0.2,0.95,22,0.980205859065717
"523",0.01,0.2,0.95,23,0.86677367576244
"524",0.01,0.2,0.95,24,0.917089678510998
"525",0.01,0.2,0.95,25,0.896368467670505
"526",0.01,0.2,0.95,26,0.911020408163265
"527",0.01,0.2,0.95,27,0.865748709122203
"528",0.01,0.2,0.95,28,0.885389326334208
"529",0.01,0.2,0.95,29,0.908765652951699
"530",0.01,0.2,0.95,30,0.938584779706275
"531",0.01,0.2,0.95,31,0.940499040307102
"532",0.01,0.2,0.95,32,0.900539707016191
"533",0.01,0.2,0.95,33,0.909579230080573
"534",0.01,0.2,0.95,34,0.888709677419355
"535",0.01,0.2,0.95,35,0.91679273827534
"536",0.01,0.2,0.95,36,0.906107566089335
"537",0.01,0.2,0.95,37,0.882403433476395
"538",0.01,0.2,0.95,38,0.891954022988506
"539",0.01,0.2,0.95,39,0.904725019364834
"540",0.01,0.2,0.95,40,0.872113676731794
"541",0.01,0.2,0.95,41,0.842610364683301
"542",0.01,0.2,0.95,42,0.876785714285714
"543",0.01,0.2,0.95,43,0.849040867389491
"544",0.01,0.2,0.95,44,0.942901234567901
"545",0.01,0.2,0.95,45,0.88659793814433
"546",0.01,0.2,0.95,46,0.921030756442228
"547",0.01,0.2,0.95,47,0.902457185405808
"548",0.01,0.2,0.95,48,0.958299264104661
"549",0.01,0.2,0.95,49,0.864394488759971
"550",0.01,0.2,0.95,50,0.954653937947494
"551",0.01,0.2,0.95,51,0.899315738025415
"552",0.01,0.2,0.95,52,0.916139240506329
"553",0.01,0.2,0.95,53,0.863636363636364
"554",0.01,0.2,0.95,54,0.865917602996255
"555",0.01,0.2,0.95,55,0.868665977249224
