"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"261",0.01,0.2,0.4,61,39
"262",0.01,0.2,0.4,62,61
"263",0.01,0.2,0.4,63,60
"264",0.01,0.2,0.4,64,46
"265",0.01,0.2,0.4,65,54
"266",0.01,0.2,0.4,66,53
"267",0.01,0.2,0.4,67,81
"268",0.01,0.2,0.4,68,45
"269",0.01,0.2,0.4,69,60
"270",0.01,0.2,0.4,70,66
"271",0.01,0.2,0.4,71,57
"272",0.01,0.2,0.4,72,60
"273",0.01,0.2,0.4,73,48
"274",0.01,0.2,0.4,74,58
"275",0.01,0.2,0.4,75,66
"276",0.01,0.2,0.4,76,65
"277",0.01,0.2,0.4,77,58
"278",0.01,0.2,0.4,78,55
"279",0.01,0.2,0.4,79,58
"280",0.01,0.2,0.4,80,47
"281",0.01,0.2,0.4,81,66
"282",0.01,0.2,0.4,82,70
"283",0.01,0.2,0.4,83,77
"284",0.01,0.2,0.4,84,70
"285",0.01,0.2,0.4,85,67
"286",0.01,0.2,0.4,86,65
"287",0.01,0.2,0.4,87,50
"288",0.01,0.2,0.4,88,56
"289",0.01,0.2,0.4,89,54
"290",0.01,0.2,0.4,90,71
"291",0.01,0.2,0.4,91,62
"292",0.01,0.2,0.4,92,67
"293",0.01,0.2,0.4,93,79
"294",0.01,0.2,0.4,94,57
"295",0.01,0.2,0.4,95,74
"296",0.01,0.2,0.4,96,48
"297",0.01,0.2,0.4,97,52
"298",0.01,0.2,0.4,98,67
"299",0.01,0.2,0.4,99,48
"300",0.01,0.2,0.4,100,56
"301",0.01,0.2,0.6,1,38
"302",0.01,0.2,0.6,2,62
"303",0.01,0.2,0.6,3,75
"304",0.01,0.2,0.6,4,73
"305",0.01,0.2,0.6,5,69
"306",0.01,0.2,0.6,6,45
"307",0.01,0.2,0.6,7,55
"308",0.01,0.2,0.6,8,66
"309",0.01,0.2,0.6,9,62
"310",0.01,0.2,0.6,10,61
"311",0.01,0.2,0.6,11,80
"312",0.01,0.2,0.6,12,50
"313",0.01,0.2,0.6,13,69
"314",0.01,0.2,0.6,14,63
"315",0.01,0.2,0.6,15,56
"316",0.01,0.2,0.6,16,62
"317",0.01,0.2,0.6,17,66
"318",0.01,0.2,0.6,18,50
"319",0.01,0.2,0.6,19,68
"320",0.01,0.2,0.6,20,50
"321",0.01,0.2,0.6,21,82
"322",0.01,0.2,0.6,22,50
"323",0.01,0.2,0.6,23,48
"324",0.01,0.2,0.6,24,98
"325",0.01,0.2,0.6,25,77
"326",0.01,0.2,0.6,26,99
"327",0.01,0.2,0.6,27,56
"328",0.01,0.2,0.6,28,53
"329",0.01,0.2,0.6,29,82
"330",0.01,0.2,0.6,30,89
"331",0.01,0.2,0.6,31,77
"332",0.01,0.2,0.6,32,60
"333",0.01,0.2,0.6,33,54
"334",0.01,0.2,0.6,34,69
"335",0.01,0.2,0.6,35,74
"336",0.01,0.2,0.6,36,66
"337",0.01,0.2,0.6,37,79
"338",0.01,0.2,0.6,38,74
"339",0.01,0.2,0.6,39,73
"340",0.01,0.2,0.6,40,83
"341",0.01,0.2,0.6,41,63
"342",0.01,0.2,0.6,42,57
"343",0.01,0.2,0.6,43,71
"344",0.01,0.2,0.6,44,62
"345",0.01,0.2,0.6,45,66
"346",0.01,0.2,0.6,46,81
"347",0.01,0.2,0.6,47,38
"348",0.01,0.2,0.6,48,71
"349",0.01,0.2,0.6,49,65
"350",0.01,0.2,0.6,50,47
"351",0.01,0.2,0.6,51,84
"352",0.01,0.2,0.6,52,73
"353",0.01,0.2,0.6,53,60
"354",0.01,0.2,0.6,54,88
"355",0.01,0.2,0.6,55,62
"356",0.01,0.2,0.6,56,84
"357",0.01,0.2,0.6,57,55
"358",0.01,0.2,0.6,58,55
"359",0.01,0.2,0.6,59,72
"360",0.01,0.2,0.6,60,70
"361",0.01,0.2,0.6,61,79
"362",0.01,0.2,0.6,62,77
"363",0.01,0.2,0.6,63,60
"364",0.01,0.2,0.6,64,56
"365",0.01,0.2,0.6,65,64
"366",0.01,0.2,0.6,66,61
"367",0.01,0.2,0.6,67,56
"368",0.01,0.2,0.6,68,59
"369",0.01,0.2,0.6,69,61
"370",0.01,0.2,0.6,70,72
"371",0.01,0.2,0.6,71,60
"372",0.01,0.2,0.6,72,68
"373",0.01,0.2,0.6,73,62
"374",0.01,0.2,0.6,74,49
"375",0.01,0.2,0.6,75,66
"376",0.01,0.2,0.6,76,75
"377",0.01,0.2,0.6,77,67
"378",0.01,0.2,0.6,78,60
"379",0.01,0.2,0.6,79,61
"380",0.01,0.2,0.6,80,75
"381",0.01,0.2,0.6,81,65
"382",0.01,0.2,0.6,82,71
"383",0.01,0.2,0.6,83,59
"384",0.01,0.2,0.6,84,75
"385",0.01,0.2,0.6,85,68
"386",0.01,0.2,0.6,86,60
"387",0.01,0.2,0.6,87,66
"388",0.01,0.2,0.6,88,70
"389",0.01,0.2,0.6,89,66
"390",0.01,0.2,0.6,90,51
"391",0.01,0.2,0.6,91,47
"392",0.01,0.2,0.6,92,67
"393",0.01,0.2,0.6,93,44
"394",0.01,0.2,0.6,94,59
"395",0.01,0.2,0.6,95,68
"396",0.01,0.2,0.6,96,59
"397",0.01,0.2,0.6,97,81
"398",0.01,0.2,0.6,98,68
"399",0.01,0.2,0.6,99,61
"400",0.01,0.2,0.6,100,70
"401",0.01,0.2,0.8,1,86
"402",0.01,0.2,0.8,2,71
"403",0.01,0.2,0.8,3,77
"404",0.01,0.2,0.8,4,85
"405",0.01,0.2,0.8,5,60
"406",0.01,0.2,0.8,6,75
"407",0.01,0.2,0.8,7,73
"408",0.01,0.2,0.8,8,83
"409",0.01,0.2,0.8,9,75
"410",0.01,0.2,0.8,10,75
"411",0.01,0.2,0.8,11,85
"412",0.01,0.2,0.8,12,76
"413",0.01,0.2,0.8,13,64
"414",0.01,0.2,0.8,14,61
"415",0.01,0.2,0.8,15,101
"416",0.01,0.2,0.8,16,79
"417",0.01,0.2,0.8,17,86
"418",0.01,0.2,0.8,18,68
"419",0.01,0.2,0.8,19,69
"420",0.01,0.2,0.8,20,105
"421",0.01,0.2,0.8,21,83
"422",0.01,0.2,0.8,22,91
"423",0.01,0.2,0.8,23,80
"424",0.01,0.2,0.8,24,61
"425",0.01,0.2,0.8,25,74
"426",0.01,0.2,0.8,26,92
"427",0.01,0.2,0.8,27,99
"428",0.01,0.2,0.8,28,91
"429",0.01,0.2,0.8,29,54
"430",0.01,0.2,0.8,30,106
"431",0.01,0.2,0.8,31,98
"432",0.01,0.2,0.8,32,83
"433",0.01,0.2,0.8,33,70
"434",0.01,0.2,0.8,34,98
"435",0.01,0.2,0.8,35,51
"436",0.01,0.2,0.8,36,75
"437",0.01,0.2,0.8,37,93
"438",0.01,0.2,0.8,38,99
"439",0.01,0.2,0.8,39,66
"440",0.01,0.2,0.8,40,86
"441",0.01,0.2,0.8,41,105
"442",0.01,0.2,0.8,42,67
"443",0.01,0.2,0.8,43,84
"444",0.01,0.2,0.8,44,78
"445",0.01,0.2,0.8,45,73
"446",0.01,0.2,0.8,46,56
"447",0.01,0.2,0.8,47,83
"448",0.01,0.2,0.8,48,79
"449",0.01,0.2,0.8,49,69
"450",0.01,0.2,0.8,50,91
"451",0.01,0.2,0.8,51,88
"452",0.01,0.2,0.8,52,88
"453",0.01,0.2,0.8,53,55
"454",0.01,0.2,0.8,54,98
"455",0.01,0.2,0.8,55,83
"456",0.01,0.2,0.8,56,127
"457",0.01,0.2,0.8,57,83
"458",0.01,0.2,0.8,58,82
"459",0.01,0.2,0.8,59,87
"460",0.01,0.2,0.8,60,75
"461",0.01,0.2,0.8,61,81
"462",0.01,0.2,0.8,62,97
"463",0.01,0.2,0.8,63,67
"464",0.01,0.2,0.8,64,92
"465",0.01,0.2,0.8,65,80
"466",0.01,0.2,0.8,66,95
"467",0.01,0.2,0.8,67,88
"468",0.01,0.2,0.8,68,81
"469",0.01,0.2,0.8,69,69
"470",0.01,0.2,0.8,70,90
"471",0.01,0.2,0.8,71,87
"472",0.01,0.2,0.8,72,59
"473",0.01,0.2,0.8,73,76
"474",0.01,0.2,0.8,74,106
"475",0.01,0.2,0.8,75,74
"476",0.01,0.2,0.8,76,93
"477",0.01,0.2,0.8,77,81
"478",0.01,0.2,0.8,78,76
"479",0.01,0.2,0.8,79,80
"480",0.01,0.2,0.8,80,52
"481",0.01,0.2,0.8,81,75
"482",0.01,0.2,0.8,82,78
"483",0.01,0.2,0.8,83,93
"484",0.01,0.2,0.8,84,65
"485",0.01,0.2,0.8,85,56
"486",0.01,0.2,0.8,86,65
"487",0.01,0.2,0.8,87,75
"488",0.01,0.2,0.8,88,75
"489",0.01,0.2,0.8,89,78
"490",0.01,0.2,0.8,90,78
"491",0.01,0.2,0.8,91,85
"492",0.01,0.2,0.8,92,89
"493",0.01,0.2,0.8,93,79
"494",0.01,0.2,0.8,94,79
