"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_seg_homo_genotypes_GC"
"379",0.01,0.2,1e-08,4000,79,411
"380",0.01,0.2,1e-08,4000,80,1283
"381",0.01,0.2,1e-08,4000,81,437
"382",0.01,0.2,1e-08,4000,82,566
"383",0.01,0.2,1e-08,4000,83,1050
"384",0.01,0.2,1e-08,4000,84,680
"385",0.01,0.2,1e-08,4000,85,840
"386",0.01,0.2,1e-08,4000,86,633
"387",0.01,0.2,1e-08,4000,87,563
"388",0.01,0.2,1e-08,4000,88,462
"389",0.01,0.2,1e-08,4000,89,558
"390",0.01,0.2,1e-08,4000,90,461
"391",0.01,0.2,1e-08,4000,91,636
"392",0.01,0.2,1e-08,4000,92,1056
"393",0.01,0.2,1e-08,4000,93,543
"394",0.01,0.2,1e-08,4000,94,567
"395",0.01,0.2,1e-08,4000,95,638
"396",0.01,0.2,1e-08,4000,96,878
"397",0.01,0.2,1e-08,4000,97,621
"398",0.01,0.2,1e-08,4000,98,913
"399",0.01,0.2,1e-08,4000,99,602
"400",0.01,0.2,1e-08,4000,100,629
"401",0.01,0.2,1e-09,4000,1,153
"402",0.01,0.2,1e-09,4000,2,81
"403",0.01,0.2,1e-09,4000,3,49
"404",0.01,0.2,1e-09,4000,4,60
"405",0.01,0.2,1e-09,4000,5,394
"406",0.01,0.2,1e-09,4000,6,115
"407",0.01,0.2,1e-09,4000,7,79
"408",0.01,0.2,1e-09,4000,8,66
"409",0.01,0.2,1e-09,4000,9,63
"410",0.01,0.2,1e-09,4000,10,116
"411",0.01,0.2,1e-09,4000,11,74
"412",0.01,0.2,1e-09,4000,12,172
"413",0.01,0.2,1e-09,4000,13,76
"414",0.01,0.2,1e-09,4000,14,173
"415",0.01,0.2,1e-09,4000,15,157
"416",0.01,0.2,1e-09,4000,16,51
"417",0.01,0.2,1e-09,4000,17,138
"418",0.01,0.2,1e-09,4000,18,137
"419",0.01,0.2,1e-09,4000,19,113
"420",0.01,0.2,1e-09,4000,20,114
"421",0.01,0.2,1e-09,4000,21,60
"422",0.01,0.2,1e-09,4000,22,97
"423",0.01,0.2,1e-09,4000,23,51
"424",0.01,0.2,1e-09,4000,24,93
"425",0.01,0.2,1e-09,4000,25,178
"426",0.01,0.2,1e-09,4000,26,137
"427",0.01,0.2,1e-09,4000,27,71
"428",0.01,0.2,1e-09,4000,28,60
"429",0.01,0.2,1e-09,4000,29,72
"430",0.01,0.2,1e-09,4000,30,195
"431",0.01,0.2,1e-09,4000,31,122
"432",0.01,0.2,1e-09,4000,32,77
"433",0.01,0.2,1e-09,4000,33,67
"434",0.01,0.2,1e-09,4000,34,34
"435",0.01,0.2,1e-09,4000,35,115
"436",0.01,0.2,1e-09,4000,36,257
"437",0.01,0.2,1e-09,4000,37,74
"438",0.01,0.2,1e-09,4000,38,137
"439",0.01,0.2,1e-09,4000,39,72
"440",0.01,0.2,1e-09,4000,40,163
"441",0.01,0.2,1e-09,4000,41,75
"442",0.01,0.2,1e-09,4000,42,103
"443",0.01,0.2,1e-09,4000,43,122
"444",0.01,0.2,1e-09,4000,44,157
"445",0.01,0.2,1e-09,4000,45,116
"446",0.01,0.2,1e-09,4000,46,165
"447",0.01,0.2,1e-09,4000,47,101
"448",0.01,0.2,1e-09,4000,48,130
"449",0.01,0.2,1e-09,4000,49,109
"450",0.01,0.2,1e-09,4000,50,179
"451",0.01,0.2,1e-09,4000,51,170
"452",0.01,0.2,1e-09,4000,52,147
"453",0.01,0.2,1e-09,4000,53,64
"454",0.01,0.2,1e-09,4000,54,63
"455",0.01,0.2,1e-09,4000,55,95
"456",0.01,0.2,1e-09,4000,56,117
"457",0.01,0.2,1e-09,4000,57,134
"458",0.01,0.2,1e-09,4000,58,138
"459",0.01,0.2,1e-09,4000,59,54
"460",0.01,0.2,1e-09,4000,60,181
"461",0.01,0.2,1e-09,4000,61,104
"462",0.01,0.2,1e-09,4000,62,104
"463",0.01,0.2,1e-09,4000,63,96
"464",0.01,0.2,1e-09,4000,64,48
"465",0.01,0.2,1e-09,4000,65,110
"466",0.01,0.2,1e-09,4000,66,172
"467",0.01,0.2,1e-09,4000,67,128
"468",0.01,0.2,1e-09,4000,68,137
"469",0.01,0.2,1e-09,4000,69,302
"470",0.01,0.2,1e-09,4000,70,55
"471",0.01,0.2,1e-09,4000,71,109
"472",0.01,0.2,1e-09,4000,72,80
"473",0.01,0.2,1e-09,4000,73,81
"474",0.01,0.2,1e-09,4000,74,145
"475",0.01,0.2,1e-09,4000,75,57
"476",0.01,0.2,1e-09,4000,76,109
"477",0.01,0.2,1e-09,4000,77,74
"478",0.01,0.2,1e-09,4000,78,106
"479",0.01,0.2,1e-09,4000,79,66
"480",0.01,0.2,1e-09,4000,80,54
"481",0.01,0.2,1e-09,4000,81,58
"482",0.01,0.2,1e-09,4000,82,80
"483",0.01,0.2,1e-09,4000,83,69
"484",0.01,0.2,1e-09,4000,84,92
"485",0.01,0.2,1e-09,4000,85,102
"486",0.01,0.2,1e-09,4000,86,83
"487",0.01,0.2,1e-09,4000,87,52
"488",0.01,0.2,1e-09,4000,88,103
"489",0.01,0.2,1e-09,4000,89,128
"490",0.01,0.2,1e-09,4000,90,59
"491",0.01,0.2,1e-09,4000,91,51
"492",0.01,0.2,1e-09,4000,92,182
"493",0.01,0.2,1e-09,4000,93,109
"494",0.01,0.2,1e-09,4000,94,56
"495",0.01,0.2,1e-09,4000,95,57
"496",0.01,0.2,1e-09,4000,96,55
"497",0.01,0.2,1e-09,4000,97,172
"498",0.01,0.2,1e-09,4000,98,80
"499",0.01,0.2,1e-09,4000,99,48
"500",0.01,0.2,1e-09,4000,100,122
"501",0.01,0.2,1e-10,4000,1,12
"502",0.01,0.2,1e-10,4000,2,4
"503",0.01,0.2,1e-10,4000,3,2
"504",0.01,0.2,1e-10,4000,4,10
"505",0.01,0.2,1e-10,4000,5,26
"506",0.01,0.2,1e-10,4000,6,2
"507",0.01,0.2,1e-10,4000,7,35
"508",0.01,0.2,1e-10,4000,8,14
"509",0.01,0.2,1e-10,4000,9,2
"510",0.01,0.2,1e-10,4000,10,14
"511",0.01,0.2,1e-10,4000,11,5
"512",0.01,0.2,1e-10,4000,12,2
"513",0.01,0.2,1e-10,4000,13,5
"514",0.01,0.2,1e-10,4000,14,30
"515",0.01,0.2,1e-10,4000,15,7
"516",0.01,0.2,1e-10,4000,16,14
"517",0.01,0.2,1e-10,4000,17,9
"518",0.01,0.2,1e-10,4000,18,21
"519",0.01,0.2,1e-10,4000,19,19
"520",0.01,0.2,1e-10,4000,20,2
"521",0.01,0.2,1e-10,4000,21,1
"522",0.01,0.2,1e-10,4000,22,4
"523",0.01,0.2,1e-10,4000,23,4
"524",0.01,0.2,1e-10,4000,24,12
"525",0.01,0.2,1e-10,4000,25,1
"526",0.01,0.2,1e-10,4000,26,6
"527",0.01,0.2,1e-10,4000,27,6
"528",0.01,0.2,1e-10,4000,28,16
"529",0.01,0.2,1e-10,4000,29,5
"530",0.01,0.2,1e-10,4000,30,6
"531",0.01,0.2,1e-10,4000,31,12
"532",0.01,0.2,1e-10,4000,32,8
"533",0.01,0.2,1e-10,4000,33,3
"534",0.01,0.2,1e-10,4000,34,8
"535",0.01,0.2,1e-10,4000,35,14
"536",0.01,0.2,1e-10,4000,36,11
"537",0.01,0.2,1e-10,4000,37,8
"538",0.01,0.2,1e-10,4000,38,7
"539",0.01,0.2,1e-10,4000,39,59
"540",0.01,0.2,1e-10,4000,40,15
"541",0.01,0.2,1e-10,4000,41,5
"542",0.01,0.2,1e-10,4000,42,7
"543",0.01,0.2,1e-10,4000,43,19
"544",0.01,0.2,1e-10,4000,44,1
"545",0.01,0.2,1e-10,4000,45,5
"546",0.01,0.2,1e-10,4000,46,4
"547",0.01,0.2,1e-10,4000,47,3
"548",0.01,0.2,1e-10,4000,48,10
"549",0.01,0.2,1e-10,4000,49,10
"550",0.01,0.2,1e-10,4000,50,11
"551",0.01,0.2,1e-10,4000,51,3
"552",0.01,0.2,1e-10,4000,52,8
"553",0.01,0.2,1e-10,4000,53,14
"554",0.01,0.2,1e-10,4000,54,4
"555",0.01,0.2,1e-10,4000,55,10
"556",0.01,0.2,1e-10,4000,56,5
"557",0.01,0.2,1e-10,4000,57,5
"558",0.01,0.2,1e-10,4000,58,4
"559",0.01,0.2,1e-10,4000,59,13
"560",0.01,0.2,1e-10,4000,60,2
"561",0.01,0.2,1e-10,4000,61,12
"562",0.01,0.2,1e-10,4000,62,2
"563",0.01,0.2,1e-10,4000,63,4
"564",0.01,0.2,1e-10,4000,64,9
"565",0.01,0.2,1e-10,4000,65,43
"566",0.01,0.2,1e-10,4000,66,1
"567",0.01,0.2,1e-10,4000,67,20
"568",0.01,0.2,1e-10,4000,68,2
"569",0.01,0.2,1e-10,4000,69,7
"570",0.01,0.2,1e-10,4000,70,14
"571",0.01,0.2,1e-10,4000,71,6
"572",0.01,0.2,1e-10,4000,72,3
"573",0.01,0.2,1e-10,4000,73,4
"574",0.01,0.2,1e-10,4000,74,11
"575",0.01,0.2,1e-10,4000,75,3
"576",0.01,0.2,1e-10,4000,76,14
"577",0.01,0.2,1e-10,4000,77,12
"578",0.01,0.2,1e-10,4000,78,4
"579",0.01,0.2,1e-10,4000,79,11
"580",0.01,0.2,1e-10,4000,80,10
"581",0.01,0.2,1e-10,4000,81,6
"582",0.01,0.2,1e-10,4000,82,20
"583",0.01,0.2,1e-10,4000,83,56
"584",0.01,0.2,1e-10,4000,84,4
"585",0.01,0.2,1e-10,4000,85,3
"586",0.01,0.2,1e-10,4000,86,6
"587",0.01,0.2,1e-10,4000,87,6
"588",0.01,0.2,1e-10,4000,88,5
"589",0.01,0.2,1e-10,4000,89,6
"590",0.01,0.2,1e-10,4000,90,4
"591",0.01,0.2,1e-10,4000,91,59
"592",0.01,0.2,1e-10,4000,92,4
"593",0.01,0.2,1e-10,4000,93,6
"594",0.01,0.2,1e-10,4000,94,11
