"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","Relative_homo_GC"
"201",0.01,0.2,1e-07,4000,1,0.0742072447691543
"202",0.01,0.2,1e-07,4000,2,0.0727196652719665
"203",0.01,0.2,1e-07,4000,3,0.0609780885401846
"204",0.01,0.2,1e-07,4000,4,0.0806730263652069
"205",0.01,0.2,1e-07,4000,5,0.0880922718321746
"206",0.01,0.2,1e-07,4000,6,0.0747663551401869
"207",0.01,0.2,1e-07,4000,7,0.10302406912158
"208",0.01,0.2,1e-07,4000,8,0.0938472942920682
"209",0.01,0.2,1e-07,4000,9,0.0724543080939948
"210",0.01,0.2,1e-07,4000,10,0.0652522174031962
"211",0.01,0.2,1e-07,4000,11,0.0778141727250939
"212",0.01,0.2,1e-07,4000,12,0.07734400522705
"213",0.01,0.2,1e-07,4000,13,0.0638267355134825
"214",0.01,0.2,1e-07,4000,14,0.0706653715395823
"215",0.01,0.2,1e-07,4000,15,0.114432409621606
"216",0.01,0.2,1e-07,4000,16,0.0676757205059092
"217",0.01,0.2,1e-07,4000,17,0.061077796751519
"218",0.01,0.2,1e-07,4000,18,0.0497145065040999
"219",0.01,0.2,1e-07,4000,19,0.0772004589411572
"220",0.01,0.2,1e-07,4000,20,0.0528598314376892
"221",0.01,0.2,1e-07,4000,21,0.0837455692751139
"222",0.01,0.2,1e-07,4000,22,0.0391030784172966
"223",0.01,0.2,1e-07,4000,23,0.0858600056222642
"224",0.01,0.2,1e-07,4000,24,0.0571428571428571
"225",0.01,0.2,1e-07,4000,25,0.0912555970839655
"226",0.01,0.2,1e-07,4000,26,0.136080238547032
"227",0.01,0.2,1e-07,4000,27,0.0751588604132475
"228",0.01,0.2,1e-07,4000,28,0.0728956428825834
"229",0.01,0.2,1e-07,4000,29,0.0472698319574236
"230",0.01,0.2,1e-07,4000,30,0.0664408439782884
"231",0.01,0.2,1e-07,4000,31,0.0432170866010345
"232",0.01,0.2,1e-07,4000,32,0.053415268258095
"233",0.01,0.2,1e-07,4000,33,0.0790243902439024
"234",0.01,0.2,1e-07,4000,34,0.0379165835162642
"235",0.01,0.2,1e-07,4000,35,0.0571854993912258
"236",0.01,0.2,1e-07,4000,36,0.0988982062948896
"237",0.01,0.2,1e-07,4000,37,0.0630697740413607
"238",0.01,0.2,1e-07,4000,38,0.0721777190519448
"239",0.01,0.2,1e-07,4000,39,0.0536490683229814
"240",0.01,0.2,1e-07,4000,40,0.0763012225717813
"241",0.01,0.2,1e-07,4000,41,0.0493096646942801
"242",0.01,0.2,1e-07,4000,42,0.103262542320714
